,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,intercept,p_value,slope,std_error
0,USGS,02343275,ABBIE CREEK NEAR ABBEVILLE AL,ST,31.561835499999997,-85.2049324,U,NAD83,,,,3130004.0,-0.6419107547645475,0.015899167746508645,0.00023089128427890822,6.452085234653008e-05
1,USGS,02360275,JUDY CREEK NEAR OZARK AL,ST,31.4632243,-85.5721595,U,NAD83,,,,3140201.0,-0.7025687357382996,0.004651740700603828,0.0002691215566300083,6.929874963258929e-05
2,USGS,02360500,EAST FORK CHOCTAWHATCHEE R NEAR MIDLAND CITY AL,ST,31.37322677,-85.47715769,U,NAD83,179.1,0.01,NGVD29,3140201.0,-1.1385524796827757,0.00769827349402056,0.00021146962847005493,2.5573041568460456e-06
3,USGS,02367400,"YELLOW RIVER NR SANFORD, ALA",ST,31.31739106,-86.3557878,U,NAD83,,,,3140103.0,-0.6113101956121808,0.015835790385560312,0.0005108441746062792,1.2709768896421039e-05
4,USGS,02367500,LIGHTWOOD KNOT CREEK AT BABBIE AL,ST,31.2707251,-86.3135636,U,NAD83,185.0,0.01,NGVD29,3140103.0,-0.705676421928743,0.015230842324002741,0.00021018956173413707,5.165162945805845e-05
5,USGS,02367800,YELLOW RIVER NEAR WING AL,ST,31.01018008,-86.537174,U,NAD83,96.13,0.01,NGVD29,3140103.0,-0.7071067811865475,0.0,0.0001957118132262794,0.0
6,USGS,02371000,CONECUH RIVER NEAR TROY AL,ST,31.844599900000002,-85.99467429,U,NAD83,313.3,0.01,NGVD29,3140301.0,0.7071067811865475,0.0,-0.0008984838388647363,0.0
7,USGS,02372000,PATSALIGA CREEK AT LUVERNE AL,ST,31.72432298,-86.27829440000001,U,NAD83,267.53,0.01,NGVD29,3140302.0,-0.7071067811865475,0.0,0.0001957118132262794,0.0
8,USGS,02372500,CONECUH RIVER NEAR ANDALUSIA AL,ST,31.25544969,-86.6002372,U,NAD83,106.77,0.01,NGVD29,3140301.0,-0.7071067811865476,0.0,0.0007744871644978615,0.0
9,USGS,02373500,PIGEON CREEK NEAR THAD AL,ST,31.47683085,-86.6583002,U,NAD83,172.58,0.01,NGVD29,3140303.0,-0.7071067811865475,0.0,0.00019576599700624238,0.0
10,USGS,02374970,SIZEMORE CREEK NEAR ROBINSONVILLE AL,ST,31.09934464,-87.39192440000001,U,NAD83,,,,3140305.0,-0.9757620820221307,0.003223402113724917,0.0004146297798960895,0.00010775563844280786
11,USGS,02377500,"STYX RIVER NEAR LOXLEY, AL.",ST,30.66408006,-87.63887559,U,NAD83,39.0,0.01,NGVD29,3140106.0,-0.6914093481899527,0.028641761879014762,0.0003743997398723346,0.0001230232554764521
12,USGS,02398250,"MILLS CREEK AT DEWEY, ALABAMA",ST,34.32759068,-85.50329350000001,S,NAD83,,,,3150105.0,0.7071067811865475,0.0,-0.004547310489945643,0.0
